Player,Overs,Mdns,Runs,WktsDescending,Econ,Inns,Opposition,Ground,Start Date,Team
Mohammad Asif,20,6,41,6,2.05,1,Australia,Sydney,1/3/2010,Pakistan
N Wagner,20.83333333333333,8,41,6,1.96,1,Zimbabwe,Bulawayo,7/28/2016,New Zealand
C de Grandhomme,15.833333333333334,5,41,6,2.58,1,Pakistan,Christchurch,11/17/2016,New Zealand
R Ashwin,12.666666666666666,4,41,6,3.23,4,Australia,Bengaluru,3/4/2017,India
D Gough,23,6,42,6,1.82,4,South Africa,Leeds,8/6/1998,England
Danish Kaneria,13,3,42,6,3.23,1,Bangladesh,Multan,8/29/2001,Pakistan
Saeed Ajmal,23.83333333333333,6,42,6,1.76,3,West Indies,Providence,5/12/2011,Pakistan
JM Anderson,12.666666666666666,5,42,6,3.31,2,West Indies,Bridgetown,5/1/2015,England
VD Philander,15.666666666666666,4,42,6,2.68,4,India,Cape Town,1/5/2018,South Africa
JO Holder,20,6,42,6,2.1,1,England,Southampton,7/8/2020,West Indies
PS de Villiers,23.5,8,43,6,1.82,4,Australia,Sydney,1/2/1994,South Africa
Wasim Akram,16.166666666666668,4,43,6,2.65,3,New Zealand,Auckland,2/10/1994,Pakistan
HMRKB Herath,18,3,43,6,2.38,3,New Zealand,Galle,11/17/2012,Sri Lanka
HMRKB Herath,21.666666666666668,4,43,6,1.98,4,Pakistan,Abu Dhabi,9/28/2017,Sri Lanka
TG Southee,25.166666666666668,8,43,6,1.7,2,England,Lord's,6/2/2021,New Zealand
Waqar Younis,21.83333333333333,7,44,6,2.01,4,Zimbabwe,Karachi,12/1/1993,Pakistan
Mohammad Asif,23,7,44,6,1.91,1,Sri Lanka,Kandy,4/3/2006,Pakistan
VD Philander,15.833333333333334,3,44,6,2.77,3,New Zealand,Hamilton,3/15/2012,South Africa
Mohammad Amir,26,11,44,6,1.69,1,West Indies,Kingston,4/21/2017,Pakistan
Tauseef Ahmed,15,7,45,6,3,3,Sri Lanka,Kandy,2/23/1986,Pakistan
J Srinath,22,9,45,6,2.04,2,New Zealand,Mohali,10/10/1999,India
M Muralidaran,24.33333333333333,10,45,6,1.84,1,Zimbabwe,Harare,5/6/2004,Sri Lanka
Enamul Haque jnr,22.33333333333333,5,45,6,2.01,4,Zimbabwe,Chattogram,1/6/2005,Bangladesh
JC Archer,17.166666666666668,3,45,6,2.62,1,Australia,Leeds,8/22/2019,England
Imran Khan,22.5,2,46,6,2.04,3,West Indies,Karachi,11/20/1986,Pakistan
Saqlain Mushtaq,24,8,46,6,1.91,2,Australia,Hobart,11/18/1999,Pakistan
IG Butler,20,6,46,6,2.3,2,Pakistan,Wellington,12/26/2003,New Zealand
SJ Harmison,13,1,46,6,3.53,2,West Indies,The Oval,8/19/2004,England
SK Warne,23.166666666666668,7,46,6,1.98,3,England,Birmingham,8/4/2005,Australia
SCJ Broad,24.166666666666668,8,46,6,1.9,2,India,Nottingham,7/29/2011,England
R Ashwin,13.666666666666666,2,46,6,3.36,1,Sri Lanka,Galle,8/12/2015,India
TM Alderman,22,7,47,6,2.13,3,England,Brisbane,11/23/1990,Australia
GD McGrath,21.83333333333333,11,47,6,2.15,2,West Indies,Port of Spain,4/21/1995,Australia
RJ Harris,11,1,47,6,4.27,4,England,Perth,12/16/2010,Australia
R Ashwin,21.5,5,47,6,2.18,3,West Indies,Delhi,11/6/2011,India
PP Ojha,27,5,47,6,1.74,3,West Indies,Wankhede,11/22/2011,India
